year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,1.82,3.63
2006,,1.86,4.87
2008,,3.14,5.88
2009,,3.92,7.02
2010,,2.51,4.94
2011,,2.8,5.3
2012,,3.54,6.31
2013,,3.77,6.67
2014,,,6.7
2016,start of forecast,1.76,3.96
2017,,2.1,4.3
2018,,2.35,4.55
2019,,2.69,4.89
2020,,2.85,5.05
2021,,2.96,5.16
2022,,3.04,5.24
2023,,3.1,5.3
2024,,3.15,5.35
2025,,3.2,5.4
2026,,3.27,5.47
2027,,3.33,5.53
2028,,3.38,5.58
2029,,3.44,5.64
2030,,3.48,5.68
2031,,3.55,5.75
2032,,3.62,5.82
2033,,3.7,5.9
2034,,3.77,5.97
2035,,3.82,6.02
2036,,3.89,6.09
2037,,3.94,6.14
2038,,4.02,6.22
2039,,4.07,6.27
2040,,4.16,6.36
