year,Base case cost,Modeled transmission and interties
2021,950814.142544,1741549.88405
2022,977666.867696,1770908.37854
2023,994877.275014,1792126.05534
2024,1012098.29995,1808559.90126
2025,1029329.94251,1827403.06936
2026,1051076.34975,1851170.72418
2027,1070742.46142,1872674.63622
2028,1088002.92324,1889148.57233
2029,1107692.54536,1913078.90993
2030,1120136.39868,1926689.28159
2031,1144329.40945,1950728.70664
2032,1166468.66871,1974934.88308
2033,1191042.39708,1999398.06137
2034,1215631.29348,2026280.80655
2035,1230546.01918,2042590.20289
2036,1255162.21804,2069502.78819
2037,1270098.17898,2085835.39351
2038,1294741.6803,2112777.81893
2039,1314549.61307,2134435.22771
2040,1341648.06033,2161651.76371
