year,Base case cost,Modeled diesel efficiency
2019,386054.059955,601567.373825
2020,409693.179127,623057.482163
2021,428213.661649,639894.284455
2022,441561.971518,652029.11161
2023,451011.075898,660619.2065
2024,459439.278459,668281.208828
2025,468995.454843,676968.641904
2026,481553.365125,688384.923979
2027,491501.395302,697428.587777
2028,501511.884149,706529.032183
2029,512941.820608,716919.88351
2030,520358.044017,723661.904791
2031,533575.488104,735677.763051
2032,546592.172182,747511.112213
2033,558313.582431,758166.939712
2034,573183.207029,771684.780255
2035,582598.107851,780243.781003
2036,596261.685289,792665.215038
2037,605813.40034,801348.592356
2038,619649.482673,813926.849023
