year,Base case cost,Modeled non-residential energy efficiency
2017,1737498.27472,1702822.97138
2018,1825022.8537,1781164.43699
2019,1950474.75023,1893453.87103
2020,2005906.98358,1943070.13258
2021,2046751.78711,1979629.4832
2022,2075926.64676,2005743.30507
2023,2099266.53449,2026634.36256
2024,2113853.96432,2039691.2735
2025,2134276.36608,2057970.94881
2026,2160533.73977,2081473.38849
2027,2180956.14154,2099753.0638
2028,2198461.05733,2115421.35692
2029,2221800.94506,2136312.41442
2030,2236388.37489,2149369.32535
2031,2262645.74858,2172871.76504
