year,Base case cost,Modeled residential energy efficiency
2017,12472250.553,14011483.3433
2018,13121134.0456,14527273.0546
2019,14004597.6384,15227732.6979
2020,14409927.3129,15545719.5784
2021,14681475.5891,15759039.3253
2022,14892636.1044,15920289.6725
2023,14994044.4916,15992583.795
2024,15099968.5787,16069393.6174
2025,15189234.4201,16129545.1941
2026,15305649.5044,16208527.6525
2027,15395684.646,16265289.3487
2028,15464954.9722,16305445.4101
2029,15571263.6506,16374321.4626
2030,15588304.3115,16370566.2201
2031,15681906.396,16422576.4979
2032,15748278.6255,16451516.1015
2033,15830776.2422,16492421.9114
2034,15910466.8098,16530520.6724
2035,15926247.8487,16517187.4466
2036,16000664.7637,16545853.3742
