year,Base case cost,Modeled biomass for heat (cordwood)
2017,83647.5056481,102523.136205
2018,89087.8256481,106551.02757
2019,96738.2756481,112215.249801
2020,100138.475648,114732.681904
2021,102688.625648,116620.755982
2022,104388.725648,117879.472033
2023,105748.805648,118886.444874
2024,106768.865648,119641.674505
2025,107958.935648,120522.775741
2026,109489.025648,121655.620187
2027,110849.105648,122662.593029
2028,111869.165648,123417.82266
2029,113229.245648,124424.795501
2030,114249.305648,125180.025132
2031,115779.395648,126312.869578
2032,,
2033,,
2034,,
2035,,
2036,,
