year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,48198.24,2771908.0,2771908.0
2004,,48198.24,2887400.0,2887400.0
2005,,48198.24,2935260.0,2935260.0
2006,,48198.24,2888527.0,2888527.0
2007,,48198.24,2906994.0,2906994.0
2008,,48198.24,3261679.0,3261679.0
2009,,48198.24,3256624.0,3256624.0
2010,,48198.24,3331248.0,3331248.0
2011,,48198.24,3168326.0,3168326.0
2012,,48198.24,3289443.0,3289443.0
2013,,48198.24,3319849.0,3319849.0
2014,start of forecast,48198.24,3274000.0,3274000.0
2015,,48198.24,3306000.0,3306000.0
2016,,48198.24,3339000.0,3339000.0
2017,,48198.24,3371000.0,3371000.0
2018,,48198.24,3405000.0,3405000.0
2019,,48198.24,3438000.0,3438000.0
2020,,48198.24,3472000.0,3472000.0
2021,,48198.24,3506000.0,3506000.0
2022,,48198.24,3540000.0,3540000.0
2023,,48198.24,3573000.0,3573000.0
2024,,48198.24,3607000.0,3607000.0
2025,,48198.24,3641000.0,3641000.0
2026,,48198.24,3676000.0,3676000.0
2027,,48198.24,3709000.0,3709000.0
2028,,48198.24,3743000.0,3743000.0
2029,,48198.24,3780000.0,3780000.0
2030,,48198.24,3817000.0,3817000.0
2031,,48198.24,3852000.0,3852000.0
2032,,48198.24,3883000.0,3883000.0
2033,,48198.24,3914000.0,3914000.0
2034,,48198.24,3944000.0,3944000.0
2035,,48198.24,3974000.0,3974000.0
2036,,48198.24,4006000.0,4006000.0
2037,,48198.24,4039000.0,4039000.0
2038,,48198.24,4070000.0,4070000.0
2039,,48198.24,4100000.0,4100000.0
2040,,48198.24,4128000.0,4128000.0
