year,Base case cost,Modeled transmission and interties
2021,225435.76737,442459.77227
2022,231924.814399,447860.849417
2023,237041.90959,451975.99113
2024,240782.300224,454800.747803
2025,244945.682937,458698.600541
2026,250782.815207,463484.890793
2027,255241.658679,466979.312806
2028,259013.734112,470481.150824
2029,263887.648464,474392.352373
2030,267673.189937,477253.447475
2031,273560.225767,482080.525761
2032,278761.285678,486917.986454
2033,284350.484389,491496.62854
2034,290268.412898,497004.496173
2035,294465.064651,499623.829481
2036,300400.419801,505146.529126
2037,304245.370274,508055.828268
2038,309853.579865,513306.360494
2039,315116.425135,516884.583374
2040,321795.580964,523101.421178
