year,Base case cost,Modeled non-residential ashp
2017,731525.317825,971340.341011
2018,786921.316369,1023269.64402
2019,862834.351412,1094432.02223
2020,899765.017108,1129051.55757
2021,924385.460906,1152131.2478
2022,942850.793754,1169441.01547
2023,955161.015653,1180980.86058
2024,965419.533902,1190597.39818
2025,979781.45945,1204060.55081
2026,994143.384999,1217523.70344
2027,1006453.6069,1229063.54856
2028,1018763.8288,1240603.39367
2029,1033125.75434,1254066.54631
2030,1041332.56894,1261759.77638
2031,1057746.19814,1277146.23653
