year,Base case cost,Modeled biomass for heat (pellet)
2017,2303687.04651,2500219.58425
2018,2480853.75651,2626873.38531
2019,2736761.22651,2809817.76462
2020,2854872.36651,2894253.632
2021,2940174.85651,2955235.09177
2022,3005792.15651,3002143.90698
2023,3051724.26651,3034980.07762
2024,3084532.91651,3058434.48523
2025,3130465.02651,3091270.65587
2026,3182958.86651,3128797.70804
2027,3228890.97651,3161633.87868
2028,3261699.62651,3185088.28629
2029,3314193.46651,3222615.33845
2030,3347002.11651,3246069.74606
2031,3399495.95651,3283596.79822
2032,,
2033,,
2034,,
2035,,
2036,,
