year,Base case cost,Modeled residential energy efficiency
2017,263168.334257,210672.92518
2018,302444.577641,244930.318136
2019,355232.922066,290692.271962
2020,386574.603537,318821.889158
2021,413785.132789,343623.370206
2022,430208.60746,358440.812739
2023,450672.406664,377700.08784
2024,463679.095122,389703.006213
2025,483370.633403,408390.774408
2026,507492.118964,430906.227832
2027,527849.448803,450259.787586
2028,548496.253233,469902.821931
2029,579268.487901,499269.778478
2030,599114.083949,518312.358458
2031,623809.365434,541602.361823
2032,648909.911346,565297.629615
2033,676012.985191,590794.671323
2034,701953.007416,615329.415428
2035,724987.977219,637360.615145
2036,753364.739262,664131.345052
