year,Base case cost,Modeled biomass for heat (pellet)
2017,423511.541322,493878.056838
2018,463180.481322,522176.142495
2019,517541.621322,560955.000617
2020,545456.801322,580868.468302
2021,563087.441322,593445.39526
2022,577779.641322,603926.167726
2023,586594.961322,610214.631205
2024,595410.281322,616503.094684
2025,604225.601322,622791.558164
2026,615979.361322,631176.176136
2027,626263.901322,638512.716862
2028,635079.221322,644801.180341
2029,645363.761322,652137.721067
2030,652709.861322,657378.1073
2031,664463.621322,665762.725272
2032,,
2033,,
2034,,
2035,,
2036,,
