year,Base case diesel consumed,Modeled non-residential ashp
2017,42634.3233346,29844.026347
2018,42634.3233346,29844.026347
2019,42634.3233346,29844.026347
2020,42634.3233346,29844.026347
2021,42634.3233346,29844.026347
2022,42634.3233346,29844.026347
2023,42634.3233346,29844.026347
2024,42634.3233346,29844.026347
2025,42634.3233346,29844.026347
2026,42634.3233346,29844.026347
2027,42634.3233346,29844.026347
2028,42634.3233346,29844.026347
2029,42634.3233346,29844.026347
2030,42634.3233346,29844.026347
2031,42634.3233346,29844.026347
