year,Base case cost,Modeled non-residential ashp
2017,264244.407207,333190.201866
2018,283870.93826,352985.403274
2019,310857.418458,380203.80521
2020,323124.000366,392575.80609
2021,331955.93934,401483.646724
2022,338334.561932,407917.087182
2023,342750.531419,412371.007499
2024,346185.174353,415835.167745
2025,350601.14384,420289.088062
2026,355998.43988,425732.768449
2027,360414.409367,430186.688766
2028,363849.052301,433650.849013
2029,368755.685064,438599.649365
2030,371699.664722,441568.929576
2031,377096.960762,447012.609963
