year,Base case diesel consumed,Modeled residential ashp
2017,211669.010488,113430.349865
2018,214823.392421,116584.731798
2019,216400.583388,118161.922764
2020,219554.965321,121316.304697
2021,222709.347254,124470.68663
2022,224286.53822,126047.877597
2023,227440.920154,129202.25953
2024,229018.11112,130779.450497
2025,232172.493053,133933.83243
2026,233749.68402,135511.023396
2027,236904.065953,138665.405329
2028,238481.256919,140242.596296
2029,241635.638852,143396.978229
2030,243212.829819,144974.169195
2031,244790.020785,146551.360162
