year,Base case diesel consumed,Modeled non-residential ashp
2017,2266.54221475,1691.29477503
2018,2266.54221475,1691.29477503
2019,2266.54221475,1691.29477503
2020,2266.54221475,1691.29477503
2021,2266.54221475,1691.29477503
2022,2266.54221475,1691.29477503
2023,2266.54221475,1691.29477503
2024,2266.54221475,1691.29477503
2025,2266.54221475,1691.29477503
2026,2266.54221475,1691.29477503
2027,2266.54221475,1691.29477503
2028,2266.54221475,1691.29477503
2029,2266.54221475,1691.29477503
2030,2266.54221475,1691.29477503
2031,2266.54221475,1691.29477503
